,stdev-0,stdev-0.001,stdev-0.002,stdev-0.003,stdev-0.005,stdev-0.01,stdev-0.02,stdev-0.03,stdev-0.05,stdev-0.1
1-Aug-80,0.012112327915454201,0.012112142586032389,0.012112389691928137,0.012131787504744434,0.012112327915454201,0.012112327915454201,0.012112327915454201,0.01210831244464828,0.012105347173899291,0.012112389691928137
1-Sep-80,0.007876249170114872,0.007874982630311264,0.007876249170114872,0.007876249170114872,0.007863463149240366,0.007767748926939229,0.007864428131947876,0.007767748926939229,0.007891206402081274,0.007939938028810524
1-Oct-80,0.013839581045686838,0.013839463850686358,0.013839581045686838,0.013839581045686838,0.013839581045686838,0.013839346655685878,0.013841456165694519,0.013838995070684437,0.013720745315200086,0.013839581045686838
1-Nov-80,0.024614574457673094,0.024614574457673094,0.024614574457673094,0.024614574457673094,0.024604904186049107,0.024614574457673094,0.024614574457673094,0.02475726718663634,0.0241923434117653,0.024614574457673094
1-Dec-80,0.035621785938963015,0.035621785938963015,0.0356111562207397,0.035621785938963015,0.035630243994323504,0.035621785938963015,0.03563070118650515,0.035621785938963015,0.035621785938963015,0.035621785938963015
1-Jan-81,0.006208376776903195,0.006208491504640507,0.00622788049224624,0.006208376776903195,0.006208147321428571,0.006208262049165883,0.0061933474433153194,0.006208376776903195,0.006208376776903195,0.006202296206825658
1-Feb-81,0.04899575777142957,0.04898327978971958,0.04899587660935061,0.04899575777142957,0.04900169966748194,0.04899611428519271,0.04896177012600998,0.04909772070768833,0.04899647079895585,0.04899670847479795
1-Mar-81,0.03414774943400423,0.03414774943400423,0.03414774943400423,0.03414774943400423,0.034131024334881674,0.034147863989477674,0.034147863989477674,0.03414774943400423,0.03376261393229158,0.0337792244759407
1-Apr-81,0.016351495470319433,0.016350133078438852,0.016351495470319433,0.016345932370140395,0.016351495470319433,0.016351495470319433,0.016351495470319433,0.016351609002976147,0.016330037798200293,0.01635024661109557
1-May-81,0.030070334559783213,0.030070334559783213,0.0300704504199887,0.030070334559783213,0.030078328913961744,0.030097214127455956,0.030070334559783213,0.030039052304302007,0.030055967894302954,0.030070334559783213
1-Jun-81,0.0024101735963481755,0.0024101735963481755,0.0024101735963481755,0.0024101735963481755,0.0024327792097741012,0.002364616365209192,0.0025401558735472494,0.0024947139771706434,0.0024108656049224384,0.0024136336392194904
1-Jul-81,0.04072423058826738,0.04072423058826738,0.04072423058826738,0.04072423058826738,0.04072423058826738,0.04073439523473814,0.04078994620963647,0.04072423058826738,0.04072423058826738,0.040897502352524734
1-Aug-81,0.0014457467161579337,0.0014457467161579337,0.0014446870780285934,0.0014457467161579337,0.0014457467161579337,0.0014457467161579337,0.0014392711498119651,0.0016637966956621773,0.0014457467161579337,0.0014457467161579337
1-Sep-81,0.11445242332787407,0.11445242332787407,0.1144522943440274,0.11444803787708688,0.11445255231172076,0.11445242332787407,0.11445242332787407,0.11445719573020131,0.11444145970090609,0.11445242332787407
1-Oct-81,0.0247244349306135,0.0247244349306135,0.024722269660045364,0.02472628177903926,0.0247244349306135,0.024724817037184346,0.0247244349306135,0.024724243877328075,0.025074571918366526,0.0247244349306135
1-Nov-81,0.003092369284447421,0.003092369284447421,0.003091562269566166,0.0030972113737349517,0.0030926796747863653,0.003092369284447421,0.003092369284447421,0.0030926796747863653,0.003184679371249445,0.0030925555186507876
1-Dec-81,0.010389867237195854,0.010389867237195854,0.010425918899560807,0.010389805610422579,0.010402747232809999,0.010389867237195854,0.010152542533319894,0.010389867237195854,0.01117468419483292,0.010570741816753356
1-Jan-82,0.0714120694133632,0.07141232958026963,0.0714120694133632,0.07141324016444216,0.0714120694133632,0.07141343528962199,0.0714120694133632,0.07141226453854302,0.07141252470544947,0.0721636916060582
1-Feb-82,0.024028128411572054,0.024022664565706876,0.02402826167610535,0.024028128411572054,0.024028128411572054,0.024028128411572054,0.02402826167610535,0.024016134603575327,0.024028128411572054,0.024005340176378277
1-Mar-82,0.04940655429440718,0.04940393771505531,0.04940655429440718,0.049406485437055815,0.04940682972381264,0.049406485437055815,0.04940627886500172,0.04940772486938039,0.04940669200910991,0.04939829141224337
1-Apr-82,0.03908320367080017,0.03908326927178496,0.03907598756247311,0.03908281006489142,0.03909638946874326,0.039071854700431244,0.03907054268073541,0.03916120324171725,0.03908346607473934,0.03908720533087245
1-May-82,0.03164646633711872,0.0316642289309157,0.03164646633711872,0.03164646633711872,0.03164646633711872,0.03164646633711872,0.03164646633711872,0.03164463108757512,0.03162431225334241,0.031488110519356696
1-Jun-82,0.07240911603734615,0.07240911603734615,0.07240911603734615,0.07242024368661688,0.07240939422857791,0.07240911603734615,0.07240911603734615,0.0724090464895382,0.0724253902244046,0.07239548466698949
1-Jul-82,0.005112545145930878,0.005112545145930878,0.0051156833795132015,0.005112614884454929,0.005074956081467041,0.005132281148237493,0.004924041915419281,0.005112754361503033,0.005112545145930878,0.005113312269695446
1-Aug-82,0.02014004369160207,0.020137539970516153,0.020139904595986188,0.02014004369160207,0.020095115807671465,0.020179964133360845,0.02014004369160207,0.02013607946654937,0.020140113239410014,0.02014428610788654
1-Sep-82,0.08822614383074197,0.08823487026239536,0.08822240393146195,0.08822614383074197,0.08822589450412331,0.08822614383074197,0.08792414696388,0.08839493795158042,0.08822614383074197,0.088229883730022
1-Oct-82,0.036619506927927106,0.036619506927927106,0.036619506927927106,0.03663457023890817,0.03662215163138179,0.036586620615403555,0.036619506927927106,0.0366109978820294,0.03661956442148047,0.036618989485946836
1-Nov-82,0.015095549852065944,0.015093561016416958,0.015096102306412885,0.015095549852065944,0.015097317705976155,0.015213333118833685,0.015095549852065944,0.015093340034678182,0.015232006075760278,0.015095549852065944
1-Dec-82,0.008359670981102003,0.008359670981102003,0.008359670981102003,0.00835956152063527,0.008359670981102003,0.008359670981102003,0.008359452060168538,0.008359670981102003,0.008400390274726466,0.00835956152063527
1-Jan-83,0.022895775978051446,0.022895775978051446,0.022896198952107233,0.02289937125752563,0.0228956702345375,0.022895775978051446,0.02287864552879209,0.022895775978051446,0.022888902649644913,0.02289873679644195
1-Feb-83,0.0031911657681581306,0.003206549288466373,0.003162685467046925,0.0031911657681581306,0.003206653231171159,0.003200832439703175,0.0031913736535677016,0.0031911657681581306,0.0020655702180367923,0.0030654990380725553
