Date,S&P 500 Historical Prices by Month,Inflation Adjusted S&P 500 by Month,Shiller PE Ration by Month
1-Sep-18,"2,901.50","3,023.05",32.62
1-Oct-18,"2,785.46","2,897.03",31.04
1-Nov-18,"2,723.23","2,841.82",30.2
1-Dec-18,"2,567.31","2,687.70",28.29
1-Jan-19,"2,607.39","2,724.46",28.38
1-Feb-19,"2,754.86","2,866.44",29.54
1-Mar-19,"2,803.98","2,901.18",29.58
1-Apr-19,"2,903.80","2,988.64",30.13
1-May-19,"2,854.71","2,931.87",29.24
1-Jun-19,"2,890.17","2,967.70",29.28
1-Jul-19,"2,996.11","3,071.35",29.99
1-Aug-19,"2,897.50","2,970.41",28.71
1-Sep-19,"2,982.16","3,054.81",29.23
1-Oct-19,"2,977.68","3,043.26",28.84
1-Nov-19,"3,104.90","3,174.99",29.84
1-Dec-19,"3,176.75","3,251.42",30.33
1-Jan-20,"3,278.20","3,342.29",30.99
1-Feb-20,"3,277.31","3,332.25",30.73
1-Mar-20,"2,652.39","2,702.74",24.82
1-Apr-20,"2,761.98","2,833.34",25.93
1-May-20,"2,919.61","2,995.00",27.33
1-Jun-20,"3,104.66","3,167.49",28.84
1-Jul-20,"3,207.62","3,256.06",29.6
1-Aug-20,"3,391.71","3,432.11",31.16
1-Sep-20,"3,365.52","3,400.87",30.84
1-Oct-20,"3,418.70","3,453.18",31.28
1-Nov-20,"3,548.99","3,586.97",32.44
1-Dec-20,"3,695.31","3,731.34",33.7
1-Jan-21,"3,793.75","3,814.52",34.4
